Date,Country_Code,No_Of_Confirmed,New_Confirmed,No_Of_Death,New_Death,Total_Recovered,Active_Cases,Serious_Critical,Total_Cases_1M_pop,Death_Cases_1M_pop,Test_1M pop,Proviance_Code,System_Date
28-04-2020,Cabo Verde,109.0,,1.0,,1.0,107.0,,791.0,2.0,1423.0,Africa,1588052500957
28-04-2020,Aruba,100.0,,2.0,,73.0,25.0,4.0,1626.0,19.0,15230.0,North America,1588052500957
28-04-2020,Togo,99.0,1.0,6.0,,62.0,31.0,,6141.0,0.7,742.0,Africa,1588052500957
28-04-2020,Sierra Leone,99.0,,4.0,,10.0,85.0,,,0.5,,Africa,1588052500957
28-04-2020,Monaco,95.0,,4.0,,42.0,49.0,1.0,,102.0,,Europe,1588052500957
28-04-2020,Zambia,89.0,,3.0,,42.0,44.0,1.0,5284.0,0.2,287.0,Africa,1588052500957
28-04-2020,Liechtenstein,82.0,,1.0,,55.0,26.0,,900.0,26.0,23605.0,Europe,1588052500957
28-04-2020,Bahamas,80.0,,11.0,,22.0,47.0,1.0,,28.0,,North America,1588052500957
28-04-2020,Barbados,80.0,,6.0,,39.0,35.0,4.0,1751.0,21.0,6093.0,North America,1588052500957
28-04-2020,Uganda,79.0,,,,47.0,32.0,,22318.0,,488.0,Africa,1588052500957
28-04-2020,Haiti,76.0,2.0,6.0,,8.0,62.0,,776.0,0.5,68.0,North America,1588052500957
28-04-2020,Mozambique,76.0,,,,12.0,64.0,,1644.0,,53.0,Africa,1588052500957
28-04-2020,Sint Maarten,74.0,,13.0,,33.0,28.0,7.0,266.0,303.0,6204.0,North America,1588052500957
28-04-2020,Guyana,74.0,,8.0,,15.0,51.0,5.0,464.0,10.0,590.0,South America,1588052500957
28-04-2020,GuineaBissau,73.0,,1.0,,18.0,54.0,,1500.0,0.5,762.0,Africa,1588052500957
28-04-2020,Cayman Islands,70.0,,1.0,,8.0,61.0,3.0,940.0,15.0,14303.0,North America,1588052500957
28-04-2020,Eswatini,65.0,,1.0,,10.0,54.0,,714.0,0.9,615.0,Africa,1588052500957
28-04-2020,Benin,64.0,,1.0,,33.0,30.0,,,0.08,,Africa,1588052500957
28-04-2020,Libya,61.0,,2.0,,18.0,41.0,,1623.0,0.3,236.0,Africa,1588052500957
28-04-2020,French Polynesia,58.0,,,,49.0,9.0,1.0,2315.0,,8241.0,Australia/Oceania,1588052500957
28-04-2020,Nepal,52.0,,,,16.0,36.0,,51367.0,,1763.0,Asia,1588052500957
28-04-2020,CAR,50.0,,,,10.0,40.0,,,,,Africa,1588052500957
28-04-2020,Chad,46.0,,,,15.0,31.0,,,,,Africa,1588052500957
28-04-2020,Macao,45.0,,,,32.0,13.0,1.0,,,,Asia,1588052500957
28-04-2020,Syria,43.0,,3.0,,19.0,21.0,,,0.2,,Asia,1588052500957
28-04-2020,Eritrea,39.0,,,,13.0,26.0,,,,,Africa,1588052500957
28-04-2020,Saint Martin,38.0,,3.0,,24.0,11.0,3.0,,78.0,,North America,1588052500957
28-04-2020,Mongolia,38.0,,,,10.0,28.0,,7292.0,,2224.0,Asia,1588052500957
28-04-2020,Malawi,36.0,,3.0,,4.0,29.0,1.0,690.0,0.2,36.0,Africa,1588052500957
28-04-2020,Zimbabwe,32.0,1.0,4.0,,5.0,23.0,,6395.0,0.3,430.0,Africa,1588052500957
28-04-2020,Angola,27.0,,2.0,,6.0,19.0,,,0.06,,Africa,1588052500957
28-04-2020,Antigua and Barbuda,24.0,,3.0,,11.0,10.0,1.0,113.0,31.0,1154.0,North America,1588052500957
28-04-2020,TimorLeste,24.0,,,,2.0,22.0,,322.0,,244.0,Asia,1588052500957
28-04-2020,Botswana,22.0,,1.0,,,21.0,,5023.0,0.4,2136.0,Africa,1588052500957
28-04-2020,Laos,19.0,,,,7.0,12.0,,1796.0,,247.0,Asia,1588052500957
28-04-2020,Belize,18.0,,2.0,,6.0,10.0,1.0,936.0,5.0,2354.0,North America,1588052500957
28-04-2020,Fiji,18.0,,,,12.0,6.0,,1007.0,,1123.0,Australia/Oceania,1588052500957
28-04-2020,Grenada,18.0,,,,7.0,11.0,4.0,175.0,,1555.0,North America,1588052500957
28-04-2020,New Caledonia,18.0,,,,17.0,1.0,1.0,3952.0,,13842.0,Australia/Oceania,1588052500957
28-04-2020,Curaçao,16.0,,1.0,,11.0,4.0,,304.0,6.0,1853.0,North America,1588052500957
28-04-2020,Dominica,16.0,,,,13.0,3.0,,383.0,,5320.0,North America,1588052500957
28-04-2020,Namibia,16.0,,,,8.0,8.0,,704.0,,277.0,Africa,1588052500957
28-04-2020,Saint Kitts and Nevis,15.0,,,,2.0,13.0,,260.0,,4887.0,North America,1588052500957
28-04-2020,Saint Lucia,15.0,,,,15.0,0.0,,446.0,,2429.0,North America,1588052500957
28-04-2020,St. Vincent Grenadines,15.0,,,,8.0,7.0,,108.0,,973.0,North America,1588052500957
28-04-2020,Nicaragua,13.0,,3.0,,7.0,3.0,,,0.5,,North America,1588052500957
28-04-2020,Falkland Islands,13.0,,,,11.0,2.0,,353.0,,101437.0,South America,1588052500957
