State/Region,No. of facilities,Total no. of quaranitine people,Date,Remark
Mandalay,804,4602,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Kayin,418,3233,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Yangon,84,2598,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Mon,486,1922,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Shan (S),424,1626,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Shan (N),200,1561,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Ayeyarwaddy,314,1355,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Tanintharyi,228,1067,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Shan (E),20,973,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Naypyitaw,6,936,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Rakhine,130,724,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Kayar,17,64,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Chin,17,55,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Sagaing,1446,17039,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Magway,73,8696,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Kachin,282,6181,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Bago,817,5418,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
Mandalay,804,4602,14/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 9 (14-4-2020)
